idx,elapsed_ns,position_counts
550,383714,-147
551,368200,-147
552,344936,-147
553,347726,-147
554,367445,-147
555,387065,-147
556,347920,-147
557,373785,-147
558,384270,-147
559,360167,-147
560,352433,-147
561,368035,-147
562,369050,-147
563,365728,-147
564,377629,-147
565,364720,-147
566,385960,-147
567,374026,-147
568,360637,-147
569,346692,-147
570,370614,-147
571,383768,-147
572,344928,-147
573,370859,-147
574,386201,-147
575,360671,-147
576,376373,-147
577,344719,-147
578,375321,-147
579,386050,-147
580,359667,-147
581,379209,-147
582,382933,-147
583,349899,-147
584,382790,-147
585,345696,-147
586,374423,-147
587,382459,-147
588,346349,-147
589,371871,-147
590,346869,-147
591,380595,-147
592,376978,-147
593,344932,-147
594,368049,-147
595,388806,-147
596,343051,-147
597,369644,-147
598,370553,-147
599,367827,-147
600,366892,-147
601,367182,-147
602,390418,-147
603,387996,-147
604,342306,-147
605,349707,-147
606,367968,-147
607,370536,-147
608,384421,-147
609,346353,-147
610,370563,-147
611,362868,-147
612,369173,-147
613,369107,-147
614,388692,-147
615,361461,-147
616,378874,-147
617,362308,-147
618,372986,-147
619,365510,-147
620,368955,-147
621,347587,-147
622,386902,-147
623,370014,-147
624,387324,-147
625,342331,-147
626,370721,-147
627,344312,-147
628,368156,-147
629,393338,-147
630,366457,-147
631,348832,-147
632,384556,-147
633,345477,-147
634,374391,-147
635,383533,-147
636,345399,-147
637,371526,-147
638,366754,-147
639,368341,-147
640,367837,-147
641,364746,-147
642,371777,-147
643,364576,-147
644,366855,-147
645,375572,-147
646,385695,-147
647,347275,-147
648,367265,-147
649,367054,-147
650,369806,-147
651,362778,-147
652,367321,-147
653,372636,-147
654,389317,-147
655,347270,-147
656,367299,-147
657,387094,-146
658,349239,-146
659,366876,-147
660,384075,-147
661,350002,-147
662,367717,-147
663,388941,-147
664,345115,-147
665,366952,-147
666,391391,-147
667,344294,-147
668,366817,-147
669,371088,-147
670,365939,-147
671,370214,-147
672,364603,-147
673,366905,-147
674,375056,-147
675,383819,-147
676,345951,-147
677,371995,-147
678,388074,-147
679,370069,-147
680,386926,-147
681,345749,-147
682,349033,-147
683,366697,-147
684,364746,-147
685,391898,-147
686,344208,-147
687,370978,-147
688,387636,-147
689,345944,-147
690,371362,-147
691,385822,-147
692,342572,-147
693,373390,-147
694,385744,-147
695,367838,-147
696,345309,-147
697,386330,-147
698,352270,-148
699,364786,-147
700,388448,-147
701,349049,-147
702,366846,-147
703,400590,-147
704,361912,-147
705,386729,-147
706,348378,-147
707,367405,-147
708,342288,-147
709,373358,-147
710,385520,-147
711,347938,-147
712,367163,-147
713,365489,-147
714,372163,-147
715,364990,-147
716,387430,-146
717,349020,-146
718,371242,-146
719,389024,-146
720,397288,-146
721,354392,-147
722,352833,-147
723,336978,-147
724,375411,-147
725,361986,-147
726,369583,-147
727,351500,-147
728,361940,-147
729,348259,-147
730,349705,-147
731,386911,-147
732,354492,-147
733,371449,-147
734,353853,-147
735,344695,-147
736,352165,-147
737,347085,-147
738,384514,-147
739,354153,-147
740,365360,-147
741,416147,-147
742,379624,-146
743,398716,-147
744,381059,-147
745,381405,-147
746,371571,-147
747,385791,-147
748,366919,-147
749,375470,-147
750,383327,-147
751,370871,-147
752,365043,-147
753,349043,-147
754,392494,-147
755,380986,-147
756,364691,-147
757,369514,-147
