idx,set_ns,update_ns,total_ns
983,405200,350418,755618
984,394509,354077,748586
985,364076,357413,721489
986,346874,352853,699727
987,378897,351788,730685
988,374014,352352,726366
989,383661,355531,739192
990,365739,350494,716233
991,413801,349122,762923
992,352385,347626,700011
993,347547,376220,723767
994,388574,350867,739441
995,372795,351671,724466
996,362268,342674,704942
997,364625,335231,699856
998,363718,351950,715668
999,375699,349986,725685
