idx,elapsed_ns,position_counts
574,387118,-123
575,410004,-123
576,390164,-123
577,407596,-123
578,408942,-123
579,345910,-124
580,410695,-124
581,347532,-124
582,387598,-124
583,369187,-123
584,390669,-123
585,405051,-123
586,347071,-123
587,387353,-123
588,371468,-123
589,387988,-123
590,388583,-123
591,366468,-123
592,379095,-123
593,377424,-123
594,345236,-123
595,369898,-123
596,344980,-123
597,347092,-123
598,373523,-123
599,384243,-123
600,346744,-123
601,390593,-123
602,365269,-123
603,371124,-123
604,386379,-123
605,345644,-123
606,370042,-123
607,345095,-123
608,438976,-123
609,442132,-123
610,410595,-123
611,403124,-123
612,362579,-123
613,383536,-123
614,385468,-123
615,366525,-123
616,398343,-123
617,361369,-123
618,395671,-123
619,361756,-123
620,378645,-123
621,413267,-123
622,405577,-123
623,416325,-124
624,378872,-124
625,386991,-124
626,390690,-124
627,384345,-124
628,347819,-124
629,388541,-123
630,365230,-123
631,371747,-123
632,384357,-123
633,346538,-123
634,348788,-123
635,386163,-123
636,347455,-123
637,395197,-123
638,385015,-123
639,391531,-123
640,402777,-122
641,387668,-122
642,367174,-122
643,385356,-122
644,375510,-122
645,402475,-122
646,384145,-123
647,374097,-123
648,390122,-123
649,382752,-123
650,385691,-123
651,386792,-123
652,350917,-123
653,383396,-123
654,379682,-123
655,377400,-123
656,406705,-123
657,348078,-123
658,366290,-123
659,386842,-123
660,390467,-123
661,366439,-123
662,349811,-123
663,386084,-123
664,344934,-123
665,371171,-123
666,383791,-123
667,366924,-123
668,388106,-123
669,346791,-123
670,369699,-123
671,384509,-123
672,348492,-123
673,392619,-123
674,381671,-123
675,354244,-123
676,400710,-123
677,345564,-124
678,348480,-124
679,406342,-124
680,351103,-124
681,394853,-123
682,359234,-123
683,389520,-123
684,384119,-123
685,387307,-123
686,373378,-123
687,382573,-123
688,397394,-123
689,382056,-123
690,401757,-123
691,374493,-123
692,383119,-122
693,345693,-122
694,410152,-122
695,345842,-122
696,349658,-123
697,362587,-123
698,367163,-123
699,370480,-123
700,385777,-123
701,367893,-123
702,375863,-123
703,383228,-123
704,390493,-123
705,367496,-123
706,386010,-122
707,411654,-122
708,382553,-123
709,392089,-123
710,385544,-123
711,389911,-123
712,407696,-123
713,386197,-123
714,369811,-123
715,386723,-123
716,386832,-123
717,369696,-123
718,369184,-123
719,390968,-123
720,400339,-123
721,367168,-123
722,349094,-123
723,387823,-123
724,386213,-123
725,388573,-123
726,366829,-123
727,368473,-123
728,386710,-123
729,368664,-123
730,388931,-123
731,407134,-123
732,414743,-123
733,385037,-123
734,388150,-123
735,388752,-123
736,386176,-123
737,391159,-123
738,383701,-123
739,368716,-123
740,388366,-123
741,385710,-123
742,361884,-123
743,374442,-123
744,366239,-123
745,356584,-123
746,380097,-123
747,385871,-123
748,389875,-123
749,386952,-123
750,390841,-123
751,383905,-123
752,368313,-123
753,348759,-123
754,364999,-123
755,346888,-123
756,389587,-123
757,385451,-123
758,372532,-123
759,367053,-123
760,387979,-123
761,406339,-123
762,385520,-123
763,369728,-123
764,386634,-123
765,386030,-123
766,372130,-123
767,359098,-123
768,403228,-123
769,376504,-123
770,386919,-123
771,390025,-123
772,386698,-123
773,398783,-123
774,355616,-123
775,384923,-123
776,390520,-123
777,387017,-123
778,388078,-123
779,368145,-123
780,388481,-123
781,390166,-123
782,391318,-123
783,381902,-123
784,389923,-123
785,387967,-123
786,393127,-123
787,383769,-123
788,393264,-123
789,363307,-124
790,406748,-124
791,390034,-123
792,386249,-123
793,388931,-123
794,372592,-123
795,361368,-123
796,397155,-123
797,396092,-123
798,388683,-123
799,394317,-123
800,382986,-123
801,400627,-123
802,396656,-123
803,387824,-123
804,370658,-123
805,384140,-123
806,381157,-123
807,380406,-123
808,366911,-123
809,390369,-123
810,359544,-123
811,387710,-123
812,412361,-124
813,384785,-124
814,393103,-124
815,383545,-124
816,387903,-124
817,433600,-124
818,365660,-124
819,389947,-124
820,368814,-123
821,382568,-123
822,391447,-123
823,385254,-123
824,392466,-123
825,386908,-123
826,385127,-123
827,394433,-123
828,382431,-123
829,395210,-123
830,380104,-123
831,389406,-123
832,388675,-123
833,370324,-123
834,397655,-123
835,375566,-123
836,387591,-123
837,388895,-123
838,408619,-123
839,399513,-123
840,355870,-123
841,387007,-123
842,392340,-123
843,384836,-123
844,406469,-123
845,394363,-123
846,387004,-123
847,409504,-123
848,385552,-123
849,381808,-123
850,375223,-123
851,368010,-123
852,394264,-123
853,358053,-123
854,388170,-123
855,389637,-123
856,386132,-123
857,390418,-123
858,384960,-123
859,394329,-123
860,384457,-123
861,385892,-123
862,392082,-123
863,385868,-123
864,387765,-123
865,374900,-123
866,361082,-123
867,396574,-123
868,380660,-123
869,387044,-123
870,395375,-123
871,403631,-123
872,413090,-123
873,389255,-123
874,384857,-123
