idx,set_ns,update_ns,total_ns
778,389544,330475,720019
779,387830,350418,738248
780,354028,330399,684427
781,389201,354303,743504
782,367127,359433,726560
783,383240,372691,755931
784,395028,352071,747099
785,365876,356259,722135
786,389296,376239,765535
787,386327,331916,718243
788,375041,366550,741591
789,354377,348543,702920
790,347335,331379,678714
791,390515,351778,742293
792,376819,343895,720714
793,353205,353095,706300
794,345191,352019,697210
795,354054,368582,722636
796,390309,333280,723589
797,386096,364014,750110
798,401831,352196,754027
799,371067,349197,720264
800,351754,356061,707815
801,405942,363957,769899
802,385361,366110,751471
803,372213,333451,705664
804,385809,359888,745697
805,363366,351718,715084
806,392976,328949,721925
807,355330,346752,702082
808,347143,358502,705645
809,365629,350821,716450
810,353264,352544,705808
811,368264,352283,720547
812,354478,350423,704901
813,377829,329121,706950
814,351079,352132,703211
815,390031,333223,723254
816,388136,352686,740822
817,354783,350182,704965
818,363632,375183,738815
819,367998,354824,722822
820,367009,352485,719494
821,350150,371882,722032
822,390340,356038,746378
823,364750,364575,729325
824,380077,350807,730884
825,374892,353210,728102
826,389364,332345,721709
827,368096,330546,698642
828,349848,351710,701558
829,360681,364788,725469
830,384130,358913,743043
831,365897,350149,716046
832,353541,350096,703637
833,345913,357176,703089
834,408038,339320,747358
835,383789,349201,732990
836,372858,334638,707496
837,363079,357119,720198
838,345607,354457,700064
839,372355,351168,723523
840,362596,338325,700921
841,349678,352317,701995
842,387889,329564,717453
843,374142,351304,725446
844,351543,354418,705961
845,385546,327637,713183
846,394289,351275,745564
847,350775,349025,699800
848,368483,356436,724919
849,386850,352684,739534
850,370653,356231,726884
851,394621,363065,757686
852,347996,356841,704837
853,346544,330651,677195
854,374840,353295,728135
855,385674,353356,739030
856,367797,363382,731179
857,359505,332557,692062
858,467173,470382,937555
859,511928,453801,965729
860,513942,450928,964870
861,513751,415799,929550
862,394824,392176,787000
863,474587,460785,935372
864,508235,473487,981722
865,487402,453328,940730
866,418431,408493,826924
867,491343,462730,954073
868,500996,468445,969441
869,492501,469799,962300
870,402139,358188,760327
871,474002,384996,858998
872,382793,357931,740724
873,387282,330104,717386
874,389197,350067,739264
875,355023,351332,706355
876,360509,378408,738917
877,369134,329185,698319
878,347721,355462,703183
879,349797,329059,678856
880,366613,360184,726797
881,363564,353633,717197
882,387842,348157,735999
883,404840,365444,770284
884,360356,356664,717020
885,375340,342890,718230
886,365465,348064,713529
887,402208,362193,764401
888,381495,340335,721830
889,350265,323013,673278
890,396619,345220,741839
891,371053,328527,699580
892,330849,310035,640884
893,334975,304906,639881
894,350227,317269,667496
895,327748,330447,658195
896,359679,304828,664507
897,349298,338383,687681
898,343673,330309,673982
899,353362,334479,687841
900,323475,312692,636167
901,328181,330994,659175
902,350970,320004,670974
903,343301,335117,678418
904,353872,360700,714572
905,342413,351894,694307
906,370233,331171,701404
907,370051,353503,723554
908,352791,334230,687021
909,371363,329263,700626
910,390976,352221,743197
911,369486,368535,738021
912,377291,371085,748376
913,391585,352174,743759
914,368758,352001,720759
915,347804,356493,704297
916,375440,346329,721769
917,350418,349916,700334
918,370035,354668,724703
919,385220,351535,736755
920,354035,330144,684179
921,346910,335499,682409
922,409142,341041,750183
923,382889,347856,730745
924,353163,348931,702094
925,368069,355601,723670
926,346131,352373,698504
927,377374,348294,725668
928,410866,352807,763673
929,388379,353351,741730
930,369752,348923,718675
931,353417,352816,706233
932,397039,370080,767119
933,391033,368690,759723
934,389123,348679,737802
935,351756,331545,683301
936,345790,358633,704423
937,388207,339855,728062
938,380848,350772,731620
939,354544,350963,705507
940,366054,352075,718129
941,348374,331371,679745
942,375009,338062,713071
943,394173,345015,739188
944,385268,333512,718780
945,385272,355922,741194
946,371332,350957,722289
947,347144,354418,701562
948,367380,362147,729527
949,387227,365559,752786
950,359114,343091,702205
951,370855,333429,704284
952,367913,351241,719154
953,371045,348606,719651
954,359149,348890,708039
955,387415,332548,719963
956,368718,330296,699014
957,392898,351334,744232
958,366917,372723,739640
959,372582,373471,746053
960,388054,329418,717472
961,357648,351137,708785
962,386133,354459,740592
963,348863,329085,677948
964,370531,350531,721062
965,380502,364371,744873
966,346073,356803,702876
967,345944,353261,699205
968,347799,371067,718866
969,393595,332004,725599
970,389783,362941,752724
971,379234,351936,731170
972,375593,364120,739713
973,377572,371093,748665
974,385767,378019,763786
975,388204,330348,718552
976,351765,350369,702134
977,348345,354465,702810
978,386345,330319,716664
979,396069,329419,725488
980,376002,366259,742261
981,346311,359887,706198
982,363993,352885,716878
983,351890,348301,700191
984,368853,355419,724272
985,351964,346408,698372
986,396803,327411,724214
987,370029,348519,718548
988,347163,333715,680878
989,389338,348534,737872
990,352300,332054,684354
991,367970,372402,740372
992,349249,356744,705993
993,367018,352348,719366
994,353635,349924,703559
995,365562,354183,719745
996,388456,348726,737182
997,395318,329866,725184
998,383243,337653,720896
999,370174,372975,743149
